"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"25-JAN-2024","IREDA","Indian Renewable Energy","MARSHALL WACE INVESTMENT STRATEGIES  EUREKA FUND","BUY","6,43,157","161.75","-"
"25-JAN-2024","IREDA","Indian Renewable Energy","MARSHALL WACE INVESTMENT STRATEGIES GLOBAL FINANCIALS MARKET NEUTRAL FUND","BUY","8,081","161.75","-"
"25-JAN-2024","IREDA","Indian Renewable Energy","SOCIETE GENERALE","SELL","6,51,238","161.75","-"
"25-JAN-2024","JYOTHYLAB","Jyothy Labs Limited","MARSHALL WACE INVESTMENT STRATEGIES  EUREKA FUND","BUY","3,28,141","535.95","-"
"25-JAN-2024","JYOTHYLAB","Jyothy Labs Limited","SOCIETE GENERALE","SELL","3,28,141","535.95","-"
"25-JAN-2024","KALAMANDIR","Sai Silks (Kalamandir) L","MARSHALL WACE INVESTMENT STRATEGIES  EUREKA FUND","BUY","5,13,295","240.90","-"
"25-JAN-2024","KALAMANDIR","Sai Silks (Kalamandir) L","MARSHALL WACE INVESTMENT STRATEGIES MARKET NEUTRAL TOPS FUND","BUY","20,026","240.90","-"
"25-JAN-2024","KALAMANDIR","Sai Silks (Kalamandir) L","SOCIETE GENERALE","SELL","5,33,321","240.90","-"
"25-JAN-2024","KAYNES","Kaynes Technology Ind Ltd","MARSHALL WACE INVESTMENT STRATEGIES  EUREKA FUND","BUY","46,410","2,851.15","-"
"25-JAN-2024","KAYNES","Kaynes Technology Ind Ltd","SOCIETE GENERALE","SELL","46,410","2,851.15","-"
"25-JAN-2024","LICI","Life Insura Corp of India","MARSHALL WACE INVESTMENT STRATEGIES  EUREKA FUND","BUY","66,507","907.20","-"
"25-JAN-2024","LICI","Life Insura Corp of India","MARSHALL WACE INVESTMENT STRATEGIES TOPS FUND","BUY","61,307","907.20","-"
"25-JAN-2024","LICI","Life Insura Corp of India","SOCIETE GENERALE","SELL","1,27,814","907.20","-"
"25-JAN-2024","LODHA","Macrotech Developers Ltd","MARSHALL WACE INVESTMENT STRATEGIES  EUREKA FUND","BUY","7,15,703","1,061.15","-"
"25-JAN-2024","LODHA","Macrotech Developers Ltd","SOCIETE GENERALE","SELL","7,15,703","1,061.15","-"
"25-JAN-2024","LT","Larsen & Toubro Limited","MARSHALL WACE INVESTMENT STRATEGIES MARKET NEUTRAL TOPS FUND","BUY","2,28,477","3,589.20","-"
"25-JAN-2024","LT","Larsen & Toubro Limited","MARSHALL WACE INVESTMENT STRATEGIES TOPS FUND","BUY","5,175","3,589.20","-"
"25-JAN-2024","LT","Larsen & Toubro Limited","SOCIETE GENERALE","SELL","2,33,652","3,589.20","-"
"25-JAN-2024","MANAPPURAM","Manappuram Finance Ltd","MARSHALL WACE INVESTMENT STRATEGIES  EUREKA FUND","BUY","51,27,647","174.55","-"
"25-JAN-2024","MANAPPURAM","Manappuram Finance Ltd","MARSHALL WACE INVESTMENT STRATEGIES GLOBAL FINANCIALS MARKET NEUTRAL FUND","BUY","1,45,084","174.55","-"
"25-JAN-2024","MANAPPURAM","Manappuram Finance Ltd","SOCIETE GENERALE","SELL","52,72,731","174.55","-"
"25-JAN-2024","MANKIND","Mankind Pharma Limited","MARSHALL WACE INVESTMENT STRATEGIES  EUREKA FUND","BUY","69,763","2,060.65","-"
"25-JAN-2024","MANKIND","Mankind Pharma Limited","MARSHALL WACE INVESTMENT STRATEGIES  SYSTEMATIC ALPHA PLUS FUND","BUY","11,642","2,060.65","-"
"25-JAN-2024","MANKIND","Mankind Pharma Limited","MARSHALL WACE INVESTMENT STRATEGIES MARKET NEUTRAL TOPS FUND","BUY","10,638","2,060.65","-"
"25-JAN-2024","MANKIND","Mankind Pharma Limited","MARSHALL WACE INVESTMENT STRATEGIES TOPS FUND","BUY","18,862","2,060.65","-"
"25-JAN-2024","MANKIND","Mankind Pharma Limited","SOCIETE GENERALE","SELL","1,10,905","2,060.65","-"
"25-JAN-2024","MANYAVAR","Vedant Fashions Limited","MARSHALL WACE INVESTMENT STRATEGIES  EUREKA FUND","BUY","3,30,430","1,072.45","-"
"25-JAN-2024","MANYAVAR","Vedant Fashions Limited","SOCIETE GENERALE","SELL","3,30,430","1,072.45","-"
"25-JAN-2024","NHPC","NHPC Ltd","MARSHALL WACE INVESTMENT STRATEGIES  EUREKA FUND","BUY","66,45,638","80.40","-"
"25-JAN-2024","NHPC","NHPC Ltd","SOCIETE GENERALE","SELL","66,45,638","80.40","-"
"25-JAN-2024","NXST","Nexus Select Trust","MARSHALL WACE INVESTMENT STRATEGIES  EUREKA FUND","BUY","19,21,574","129.99","-"
"25-JAN-2024","NXST","Nexus Select Trust","SOCIETE GENERALE","SELL","19,21,574","129.99","-"
"25-JAN-2024","NYKAA","FSN E Commerce Ventures","MARSHALL WACE INVESTMENT STRATEGIES  EUREKA FUND","BUY","42,17,075","162.45","-"
"25-JAN-2024","NYKAA","FSN E Commerce Ventures","MARSHALL WACE INVESTMENT STRATEGIES MARKET NEUTRAL TOPS FUND","BUY","3,29,705","162.45","-"
"25-JAN-2024","NYKAA","FSN E Commerce Ventures","MARSHALL WACE INVESTMENT STRATEGIES TOPS FUND","BUY","1,88,043","162.45","-"
"25-JAN-2024","NYKAA","FSN E Commerce Ventures","SOCIETE GENERALE","SELL","47,34,823","162.45","-"
"25-JAN-2024","OBEROIRLTY","Oberoi Realty Limited","MARSHALL WACE INVESTMENT STRATEGIES  EUREKA FUND","BUY","3,65,650","1,304.00","-"
"25-JAN-2024","OBEROIRLTY","Oberoi Realty Limited","MARSHALL WACE INVESTMENT STRATEGIES MARKET NEUTRAL TOPS FUND","BUY","13,013","1,304.00","-"
"25-JAN-2024","OBEROIRLTY","Oberoi Realty Limited","MARSHALL WACE INVESTMENT STRATEGIES TOPS FUND","BUY","7,422","1,304.00","-"
"25-JAN-2024","OBEROIRLTY","Oberoi Realty Limited","SOCIETE GENERALE","SELL","3,86,085","1,304.00","-"
"25-JAN-2024","PAYTM","One 97 Communications Ltd","MARSHALL WACE INVESTMENT STRATEGIES  EUREKA FUND","BUY","10,63,528","753.75","-"
"25-JAN-2024","PAYTM","One 97 Communications Ltd","SOCIETE GENERALE","SELL","10,63,528","753.75","-"
